839 838
50 633 -428
796 206 673
768 642 -91
224 487 840
716 553 -84
534 296 206
642 332 -907
763 157 -58
289 142 -345
292 80 429
719 194 164
783 215 -986
18 830 -975
2 463 133
133 607 -236
235 527 927
531 471 -678
523 193 986
793 240 -944
725 152 377
488 796 277
204 438 -506
416 690 -41
476 3 -129
196 148 -107
734 726 -30
470 487 -460
459 488 -138
166 318 218
710 504 49
596 264 -788
702 305 412
638 480 -924
518 820 828
205 834 753
784 718 -505
113 199 242
774 228 228
456 137 -242
381 468 437
823 126 -52
833 657 96
203 146 333
400 434 -516
242 364 -803
306 616 724
449 803 86
666 338 680
169 582 6
391 644 -488
474 765 -428
388 322 592
798 515 332
129 576 523
407 820 539
641 760 178
824 32 632
156 429 172
552 795 891
565 537 71
360 541 -259
471 2 454
58 678 94
672 6 -921
599 668 181
551 5 -131
327 191 992
370 325 994
677 594 -853
53 604 -484
268 154 -87
776 458 540
557 448 252
275 88 589
807 513 -56
140 177 -206
233 80 -438
808 722 346
572 8 437
12 189 -139
187 650 299
275 74 -957
115 509 529
565 409 -875
587 801 -920
255 102 -380
677 832 -717
817 607 276
429 538 382
306 455 -949
688 801 0
231 124 189
607 309 587
720 12 926
560 593 714
824 502 -432
554 232 -664
148 724 -157
687 513 -800
792 595 840
78 203 -551
439 236 -618
342 111 96
200 839 -467
5 724 386
372 631 -996
60 27 595
685 2 17
444 614 637
56 737 130
247 274 537
341 240 -271
116 175 884
338 343 434
384 689 713
789 609 -244
688 346 -170
771 207 272
580 454 66
246 655 -338
151 37 -961
406 106 -149
352 145 275
539 118 476
457 54 -189
33 635 -564
97 89 665
199 67 -301
506 610 -630
59 838 -746
804 186 742
98 801 -287
625 43 696
722 363 -95
149 293 34
402 337 516
640 536 738
442 457 -868
108 726 521
212 788 377
592 648 439
359 501 289
427 655 -681
433 703 762
339 157 805
16 30 649
451 730 669
490 30 -131
729 283 -294
311 552 374
627 210 -291
349 54 605
517 5 -979
9 527 520
476 277 30
123 749 -2
592 132 111
772 782 847
472 256 47
626 60 -624
548 600 -271
140 54 -511
300 407 725
283 254 -956
202 375 544
138 119 261
496 613 189
538 114 981
131 332 -66
66 316 219
22 36 426
434 65 -931
716 756 25
312 540 -301
554 139 -285
774 220 659
825 122 -907
686 204 -680
713 33 881
560 629 351
617 689 -757
634 493 108
676 125 231
219 208 440
620 238 -742
322 211 -354
567 26 -125
797 32 497
403 425 175
764 385 350
813 372 701
611 354 540
485 625 25
353 43 26
462 761 -52
739 240 792
727 160 110
225 400 867
719 429 160
331 498 820
81 607 214
639 381 454
39 396 558
188 353 580
242 649 -823
401 224 879
387 15 997
756 411 663
279 76 389
49 755 -851
321 495 59
690 608 402
549 669 -593
707 746 -793
282 484 842
237 581 -320
33 318 -673
346 317 804
793 663 903
178 369 -691
226 121 -89
577 428 624
363 316 -96
25 723 221
522 328 -12
518 388 93
714 339 -744
197 23 812
286 295 -418
392 584 374
502 236 -618
650 222 129
452 598 -246
135 553 916
50 104 203
450 571 238
356 456 842
230 546 -255
173 825 545
366 111 -290
736 74 -186
786 821 -803
197 176 643
97 519 970
159 477 136
187 261 223
52 251 -388
439 422 -557
425 265 814
205 464 -389
636 314 633
366 826 294
417 107 -594
246 186 871
452 648 164
345 679 523
743 126 -58
75 335 656
20 336 -607
321 744 386
791 58 -279
341 319 761
253 93 -620
89 222 288
604 781 -525
644 555 479
100 799 306
828 371 -978
669 112 959
114 765 544
213 508 131
204 314 592
781 129 -2
744 203 192
594 133 -27
129 396 211
60 300 351
683 662 -191
609 391 46
283 208 -316
820 475 -161
215 748 -145
455 549 -427
659 546 -715
15 275 43
284 575 254
42 338 288
229 295 277
713 779 934
778 91 -145
737 590 -883
546 388 168
535 189 -983
431 833 -66
162 813 489
469 47 493
140 325 -58
85 409 -207
16 393 883
326 23 -380
358 323 579
660 732 -799
480 647 650
588 719 160
694 646 866
219 359 -435
539 730 -859
363 380 -136
4 646 -482
728 733 378
234 20 -431
26 624 86
298 179 205
711 243 666
345 236 -928
235 700 856
480 345 -701
151 647 232
21 585 -894
330 22 79
221 703 -197
605 35 -479
212 746 -662
654 541 -32
71 235 580
217 79 390
474 51 528
716 765 -613
530 318 -970
394 711 240
183 156 383
766 372 131
636 830 -143
689 178 -654
135 179 -365
506 535 -516
369 338 107
249 140 47
95 673 950
104 424 -578
518 85 356
401 356 -858
602 171 -583
244 233 -111
740 316 -110
578 118 -844
402 71 -11
670 511 -952
306 462 250
704 499 -88
12 118 630
470 638 -419
191 349 987
565 13 847
333 407 -95
743 392 904
553 666 -676
642 797 780
383 750 -30
435 587 -744
276 653 382
414 744 861
104 48 -892
164 560 -751
412 761 -669
502 610 642
623 817 207
155 773 -950
742 661 -749
199 800 -888
777 601 -210
479 669 -309
751 506 831
220 563 -74
507 448 115
217 227 -741
686 246 -671
588 446 470
461 39 -46
674 531 -608
774 284 -860
672 491 877
488 451 -174
664 825 563
739 160 -238
182 492 -304
311 36 847
177 178 470
221 184 -894
715 367 -394
503 360 869
623 195 -12
150 574 62
631 63 134
265 651 -878
352 663 578
822 77 287
496 207 -932
433 207 640
776 755 -635
272 503 -62
332 641 415
578 153 -948
724 168 -43
695 681 -373
533 770 -622
36 14 811
775 768 -973
696 477 -814
321 751 637
171 163 -886
610 693 784
520 552 -714
607 337 76
751 79 -822
684 74 655
768 79 114
526 17 -678
208 729 635
688 294 -662
630 828 102
74 559 -583
690 714 -996
711 514 99
251 259 -347
510 297 18
818 635 -801
299 339 543
704 168 -494
462 308 839
757 113 610
235 208 614
222 65 -831
242 521 -222
448 40 -954
274 657 -279
393 362 731
337 640 -981
839 476 516
616 606 -120
106 422 -387
373 726 569
328 215 -29
205 364 478
403 78 -699
508 474 631
271 705 868
564 78 215
600 538 474
633 645 -940
592 428 -532
818 809 -928
691 461 723
492 621 -670
412 553 -237
35 445 119
315 821 -161
357 11 273
445 821 -417
177 679 834
372 506 534
439 489 58
244 303 845
325 816 504
637 366 455
799 217 -815
381 258 -134
153 784 -41
246 2 155
678 556 688
503 406 871
411 88 -860
194 346 554
613 344 -642
739 311 -102
435 685 -282
408 774 368
607 165 -241
284 108 -157
656 202 952
278 639 862
217 200 -27
561 460 720
670 62 -10
654 243 -567
74 686 -324
772 697 608
668 285 -543
752 801 944
290 564 692
271 54 950
708 703 -424
591 199 -255
475 749 -442
835 27 -184
334 21 -507
389 530 -784
362 702 -384
796 455 820
220 108 -301
660 325 -95
360 323 136
185 282 809
433 351 636
338 641 -950
838 428 -761
218 272 66
186 828 791
273 323 -469
394 491 989
788 354 3
371 500 -653
14 112 168
635 57 607
648 768 -445
252 647 -914
402 172 -672
409 170 705
348 610 -614
576 405 -544
127 568 -602
324 508 755
234 397 945
74 517 -488
552 315 20
250 287 -748
63 168 -705
819 766 -767
708 624 -594
648 155 248
821 47 263
634 293 -596
385 625 -863
327 18 552
567 28 937
490 724 -815
687 348 -531
714 547 107
218 339 -454
641 23 557
54 838 175
306 690 -4
764 202 57
337 451 516
412 438 -781
330 165 302
331 663 432
74 44 978
500 581 16
640 551 361
353 689 908
45 498 531
288 258 -723
637 626 -548
268 811 906
702 667 105
551 727 -591
323 577 178
626 721 -327
721 263 432
538 639 -703
621 312 -790
524 387 225
218 668 -17
112 136 950
279 190 420
637 699 437
254 95 769
570 237 986
395 213 -514
355 69 -449
319 523 -896
428 5 528
418 677 508
162 169 -85
651 628 616
697 771 -842
22 339 888
402 537 -271
509 827 -416
636 11 295
276 1 -821
533 745 -403
619 741 -882
305 297 -53
52 214 -768
464 639 -691
467 530 -449
387 224 -622
127 32 -76
793 521 743
102 633 -674
503 666 -411
372 611 -436
29 637 139
178 242 -673
257 824 127
568 502 383
134 16 -594
149 196 -804
631 304 66
382 10 314
658 83 343
169 13 445
565 217 714
25 448 364
274 194 -789
292 454 -52
799 161 -388
788 333 -395
28 314 -639
343 395 -185
40 734 -969
367 632 -788
438 436 -184
580 690 -567
769 802 18
192 90 89
721 642 -164
706 806 750
86 164 -819
222 628 186
715 184 -690
74 80 953
3 528 636
658 713 -772
260 266 -100
354 813 -15
812 104 85
209 390 865
103 696 -464
192 86 762
204 753 -462
225 399 438
546 320 -297
713 372 654
618 813 -927
536 200 -175
89 334 232
175 624 -419
606 555 56
98 430 94
685 534 103
794 537 -904
16 9 333
623 625 412
579 817 357
829 736 283
211 547 168
311 44 483
275 815 -517
472 358 -731
802 117 397
756 569 -974
93 24 -900
174 323 -456
95 704 388
311 486 649
835 556 877
730 793 51
294 537 -186
70 629 373
117 800 751
123 26 -718
533 801 914
76 47 -772
666 533 -258
676 583 -146
96 136 -532
426 263 -422
632 126 347
200 780 -49
826 326 -12
425 97 15
20 503 285
130 352 55
125 775 -950
558 666 978
61 111 -257
192 153 327
453 734 774
567 183 677
35 197 -529
501 684 601
538 112 -769
641 679 938
495 232 639
607 83 -157
229 172 -822
680 399 -341
811 753 -796
252 284 670
763 94 19
626 589 -338
691 168 609
183 234 -832
810 695 -386
96 798 128
315 585 -141
470 423 399
487 326 567
331 545 844
91 65 149
354 447 370
635 523 -543
423 98 -798
644 83 181
112 226 -493
325 576 -576
314 625 517
361 385 -45
375 730 866
334 13 30
604 673 -878
578 533 -778
317 112 893
217 712 -638
136 342 929
498 34 -864
333 603 138
60 554 758
678 312 793
539 158 -656
702 509 -443
455 445 -387
297 415 -558
675 289 223
219 727 -726
317 559 147
298 273 -769
129 134 -650
82 812 761
809 468 934
446 159 -773
726 686 543
587 605 -528
90 606 -271
72 539 286
422 761 914
824 425 143
282 14 -302
743 561 -157
52 93 -850
57 527 -176
65 87 30
646 832 -143
199 741 175
98 728 -397
468 534 -500
120 632 -907
352 124 195
235 144 477
665 23 624
431 587 -265
262 153 95
254 795 -563
459 118 -964
619 583 -150
65 686 -406
717 324 585
293 734 -612
279 92 -451
434 277 -353
451 424 660
516 518 -54
393 620 377
598 360 883
721 16 -118
746 482 -643
420 110 -278
562 117 869
272 628 173
193 179 532
181 526 350
645 407 -449
117 603 516
779 488 629
586 611 703
533 546 38
662 290 -608
236 312 -131
523 219 -805
579 146 19
262 14 12
585 839 695
746 209 547
76 5 -645
590 754 -878
85 354 701
813 831 819
32 10 578
809 134 -155
658 700 -535
313 565 -669
531 774 -710
475 838 434
309 356 -509
766 70 -740
300 644 -527
19 334 723
754 516 -576
829 499 837
465 554 133
616 148 -625
246 787 -773
549 485 761
830 613 -787
452 735 -516
611 40 309
565 658 258
541 170 -138
456 323 -379
66 412 674
620 63 611
444 460 -889
208 225 983
463 343 -859
584 27 -563
290 13 -68
230 703 391
464 409 -289
5 727 -489
218 604 445
17 789 -170
3 94 700
489 725 292
610 635 -957
652 487 468
610 511 -660
139 301 -494
607 278 689
268 515 220
773 267 476
414 51 926
125 8 572
788 531 301
568 96 -270
798 18 -444
