20
972 1932
381 140 346
835 541 644
35 926 122
585 471 605
651 274 575
880 773 767
961 310 77
639 224 316
342 305 883
908 179 832
781 152 545
512 79 693
831 244 801
733 123 213
65 207 392
604 232 594
641 836 348
300 234 869
642 950 841
927 217 191
581 341 418
119 127 96
792 765 448
460 396 187
295 419 740
516 723 34
621 550 27
752 634 639
581 779 691
6 543 470
139 263 307
359 428 259
67 161 759
277 590 572
364 14 971
565 310 734
205 32 694
57 855 634
320 131 594
435 288 93
481 351 945
953 524 823
668 275 985
194 658 901
20 100 517
298 834 652
658 452 560
163 483 961
746 740 544
129 559 412
915 943 478
314 641 524
761 897 217
93 457 529
261 910 511
721 916 735
360 506 575
965 127 106
810 308 549
900 55 368
347 794 785
378 718 325
660 719 915
720 37 752
184 176 674
918 149 414
446 599 554
25 117 948
159 420 141
356 606 298
252 605 399
186 654 817
329 373 456
163 712 143
946 694 877
253 946 157
141 580 369
149 337 343
656 50 837
719 344 863
482 862 586
861 288 711
382 725 433
318 622 181
555 248 409
297 20 158
642 479 251
608 607 825
700 744 283
743 14 304
455 903 201
258 957 241
359 748 271
533 439 312
66 941 87
27 556 958
259 394 523
786 600 26
84 316 723
677 772 32
818 605 583
166 629 18
2 344 269
475 949 764
91 635 783
342 281 858
494 746 533
535 226 257
355 376 746
491 97 462
300 818 413
751 138 816
433 368 578
822 104 282
91 768 830
874 234 438
643 22 15
48 457 624
668 45 371
628 506 284
284 952 427
49 233 111
93 383 131
247 566 587
885 333 339
216 742 979
931 421 346
802 754 27
271 810 79
522 902 173
591 943 985
35 779 807
596 506 956
627 318 154
222 50 676
830 109 396
525 874 903
207 894 917
206 763 122
816 848 687
915 478 862
782 481 899
835 559 424
142 60 62
365 563 294
16 91 729
972 429 770
337 645 878
842 812 679
749 601 809
938 528 799
303 807 586
252 153 662
413 738 655
347 868 509
490 346 610
74 101 722
619 484 267
165 93 922
125 801 176
409 752 898
900 149 277
468 865 402
95 320 729
725 291 905
179 831 27
687 119 299
748 186 498
804 755 266
376 302 876
571 41 669
633 919 31
667 660 877
49 356 876
353 546 525
644 22 56
732 596 963
788 619 368
505 891 962
908 156 585
677 159 874
742 246 975
731 221 928
663 603 877
943 133 109
762 296 752
470 956 545
670 490 430
779 867 494
304 226 237
841 356 658
645 697 804
496 512 665
870 498 461
237 624 289
325 150 299
72 150 999
917 816 911
123 134 510
625 678 583
956 352 326
139 24 324
225 908 200
312 403 468
529 971 82
400 483 761
677 423 577
211 902 697
883 448 224
494 620 931
871 281 447
776 246 644
302 805 862
543 963 499
109 687 258
16 941 534
179 384 25
695 97 757
219 360 469
38 599 713
835 929 260
735 536 717
442 116 22
553 169 525
874 727 337
583 537 537
939 45 872
207 394 242
817 194 441
662 167 749
63 857 659
81 36 205
482 334 975
872 178 554
370 541 229
697 779 377
155 877 928
696 125 909
767 23 537
575 424 284
366 868 313
101 691 816
495 169 708
525 259 454
484 688 631
199 173 4
963 313 965
361 493 685
179 895 8
772 640 408
281 364 591
879 587 139
4 863 830
408 691 354
644 281 370
427 355 899
114 836 401
83 846 193
353 720 852
968 451 279
491 615 523
259 853 692
438 342 565
437 561 575
527 25 692
875 340 46
551 647 521
767 96 874
208 507 120
38 8 64
127 197 738
354 372 78
244 655 862
449 418 18
839 869 986
576 310 345
55 379 780
316 784 220
943 715 430
822 58 84
294 162 665
50 658 599
718 275 922
597 629 535
822 961 101
821 623 601
154 372 16
484 228 761
770 902 924
847 389 592
266 172 275
33 500 791
259 245 12
882 558 627
345 558 515
797 255 425
525 741 941
296 793 312
149 698 834
667 910 19
953 75 592
517 726 400
205 754 732
581 75 60
139 565 862
927 334 192
542 921 721
212 562 94
312 747 100
636 491 282
868 867 133
323 814 209
528 821 999
462 898 614
667 920 348
461 409 894
165 267 946
231 748 904
249 892 547
945 14 833
24 746 215
947 374 814
447 898 292
677 208 367
704 579 838
381 770 831
570 278 160
208 870 123
662 399 506
451 707 256
726 656 463
253 712 67
796 238 371
553 717 696
365 117 611
