815 2512
469 220 808
773 431 928
501 353 736
744 570 584
302 128 853
767 363 452
495 298 830
613 804 483
145 673 104
116 345 387
442 50 1
97 92 95
376 412 619
385 503 460
133 412 22
616 517 680
359 219 303
435 233 397
784 77 83
681 489 876
224 467 22
767 161 626
668 438 323
597 314 212
306 507 59
760 43 849
383 417 334
393 231 861
407 378 453
397 90 46
99 457 790
253 585 547
100 392 198
681 657 664
206 441 10
697 204 265
272 36 15
381 807 107
666 492 586
258 348 576
362 245 166
667 140 257
218 206 590
732 195 449
78 240 225
32 175 685
452 419 806
354 627 473
627 373 511
293 578 430
800 591 46
574 545 420
658 554 456
495 201 729
302 64 182
667 705 763
297 214 215
599 555 99
144 688 900
139 581 426
395 532 122
334 568 349
213 62 440
577 424 487
606 631 919
717 360 380
613 110 64
75 527 133
514 315 31
15 278 386
98 314 991
56 631 588
569 239 596
666 466 133
219 728 2
582 407 773
169 640 786
583 76 323
83 560 552
626 601 457
685 540 329
613 550 156
352 473 65
290 811 897
155 15 408
316 759 397
573 328 105
7 529 736
255 349 478
262 686 358
488 702 278
785 513 624
497 464 606
796 474 252
310 193 203
122 446 856
341 348 440
306 772 574
219 159 825
130 47 210
260 152 372
396 248 799
377 668 49
182 754 273
29 609 903
399 637 872
394 471 206
762 22 234
24 694 129
412 246 18
411 128 49
149 683 693
472 386 813
796 576 552
669 711 42
257 371 940
519 244 538
610 726 914
285 237 135
205 795 808
645 360 604
142 546 156
712 348 657
281 78 708
487 267 170
779 395 871
592 200 756
376 526 194
266 186 760
142 705 835
59 20 188
277 24 775
39 393 543
148 267 749
512 411 995
153 580 301
434 298 475
219 768 506
570 580 619
346 157 341
385 404 426
344 28 848
33 389 519
395 691 471
689 657 938
795 376 120
597 87 688
508 660 709
523 180 261
121 554 558
393 582 407
436 650 161
372 650 375
600 618 161
333 114 147
247 780 77
706 791 739
462 409 421
297 38 926
369 57 405
597 413 960
536 289 296
8 343 459
187 780 705
664 335 550
715 324 506
417 147 495
148 64 960
50 528 427
97 651 509
670 115 23
125 501 565
305 433 723
578 808 52
419 420 267
541 790 149
647 95 392
805 390 208
459 112 927
487 547 577
8 732 836
478 654 226
807 462 73
491 769 513
56 641 608
289 253 284
197 105 298
590 521 357
575 59 624
347 588 134
229 459 802
137 544 972
221 193 599
63 510 789
53 804 230
571 186 407
321 239 688
221 450 689
280 130 85
217 339 424
310 20 963
535 426 115
323 201 347
669 546 467
612 67 896
312 263 243
607 514 729
398 279 69
815 175 198
689 566 716
330 595 797
741 105 468
745 605 842
182 47 250
486 368 508
542 216 984
706 578 921
581 275 3
52 429 149
722 534 915
146 649 253
547 360 200
7 350 266
516 595 304
631 583 626
341 93 831
1 672 360
193 22 421
294 776 135
252 37 646
589 131 616
443 379 91
184 708 290
394 791 247
796 200 37
740 30 171
576 636 20
302 813 148
77 469 54
78 531 948
688 421 399
794 724 134
241 153 331
417 657 164
379 801 407
753 59 330
69 26 235
197 1 504
276 363 363
147 458 280
603 803 555
503 170 99
257 499 694
320 784 504
599 436 193
249 688 154
625 148 27
352 509 413
298 644 198
481 187 508
443 270 222
578 377 726
743 327 973
460 169 415
783 523 943
603 77 922
513 759 234
621 738 42
421 501 233
636 280 417
474 550 982
623 705 937
695 588 98
15 90 96
324 70 860
803 519 689
223 310 432
626 120 18
300 201 802
569 716 414
264 642 822
504 509 400
71 338 102
52 462 715
692 120 552
349 230 359
256 22 315
620 583 935
442 313 252
111 454 988
382 452 17
643 34 611
142 560 558
578 157 359
795 735 16
428 635 449
683 655 889
802 796 960
302 336 107
500 654 88
179 3 311
87 778 99
49 695 22
617 661 537
281 533 518
340 207 331
754 387 130
429 273 530
416 460 536
373 685 539
600 623 686
584 386 269
488 225 662
327 635 152
128 799 258
351 548 599
530 259 465
79 337 449
180 353 717
204 481 451
489 354 489
196 741 224
727 276 474
274 154 489
724 799 362
325 551 968
44 127 312
353 615 341
503 671 441
419 378 245
48 689 339
607 668 513
465 638 184
515 66 116
394 664 975
384 112 238
618 134 689
83 804 840
43 528 203
397 170 194
307 78 188
133 258 323
40 300 104
200 14 764
544 757 900
248 780 886
518 294 944
49 813 727
726 524 187
3 300 493
535 815 755
530 510 13
531 535 187
201 781 28
663 143 615
177 261 413
135 488 255
132 91 269
374 17 875
282 337 49
649 407 463
551 531 27
365 346 246
681 60 736
395 580 335
300 149 519
530 74 245
778 181 224
348 431 846
426 539 687
170 91 242
436 560 492
513 745 794
393 518 806
725 154 821
70 15 113
406 453 65
723 404 923
113 481 287
538 654 499
63 422 482
776 332 252
635 53 362
163 698 502
321 461 896
607 436 140
194 437 992
675 363 335
691 210 566
112 536 438
513 502 132
82 147 363
65 619 746
199 79 572
22 455 1000
781 193 10
609 729 607
450 201 300
560 170 538
765 95 163
440 494 782
224 527 622
276 257 447
489 347 615
226 357 470
688 255 480
785 542 473
202 529 557
433 340 23
103 215 732
212 499 935
771 429 589
122 542 922
357 443 834
338 249 251
665 75 865
727 464 94
775 169 121
412 357 312
266 568 27
135 626 714
752 42 100
525 807 229
160 473 48
251 238 282
744 582 767
745 334 854
767 29 993
186 789 943
567 458 717
441 434 786
386 163 772
553 755 315
277 13 114
663 745 131
449 444 988
686 609 516
634 685 320
153 296 570
252 745 195
578 548 170
646 117 895
450 738 358
545 507 692
119 810 916
702 549 470
790 321 716
243 69 958
763 263 774
708 51 228
402 346 26
186 341 981
331 37 302
325 689 383
769 614 634
230 56 940
552 547 124
688 603 91
316 339 945
61 438 94
815 483 977
805 540 840
410 63 717
199 684 147
223 564 369
277 635 644
424 340 21
39 38 26
3 304 215
470 429 936
346 361 871
566 261 68
541 176 785
462 516 312
696 708 663
282 743 418
354 684 849
329 171 482
312 75 425
211 335 887
407 359 886
579 382 533
520 528 881
162 314 426
734 254 147
342 223 690
180 349 691
781 622 946
602 625 614
522 664 394
133 522 617
283 602 817
768 15 343
208 662 987
264 185 723
70 136 803
439 35 583
230 720 852
206 64 142
81 413 899
169 341 625
107 387 562
384 373 446
388 606 857
271 763 245
647 125 708
339 632 922
390 326 136
626 538 823
140 690 906
564 752 493
574 452 796
537 660 458
75 642 489
174 637 952
563 465 306
296 762 331
14 206 26
456 474 522
225 789 940
686 454 888
717 728 49
275 68 471
272 687 706
243 151 556
136 605 338
330 294 730
448 565 80
428 622 345
415 101 875
42 574 917
15 413 759
393 594 554
458 499 235
705 537 44
346 188 205
336 72 306
14 307 896
440 446 199
417 637 526
11 814 106
795 679 372
612 642 851
343 163 208
531 145 853
482 705 323
280 412 736
628 322 823
410 31 727
263 21 549
170 16 514
116 350 570
321 292 377
284 27 371
285 289 621
280 495 249
612 576 881
662 470 642
37 317 633
642 693 726
103 142 81
692 453 818
317 686 631
704 480 546
251 324 703
614 302 946
105 16 429
308 555 940
220 83 366
126 14 609
800 458 873
63 627 494
410 357 52
327 433 377
476 267 294
319 470 707
470 64 98
737 171 198
290 344 773
223 270 541
683 150 788
439 457 626
452 199 970
153 559 751
66 776 574
86 188 629
699 538 701
295 807 485
553 621 87
277 778 751
672 15 635
368 345 181
784 450 570
603 758 947
276 462 809
522 292 934
106 535 718
686 304 40
689 396 727
587 467 445
495 578 127
679 780 426
732 721 490
733 703 290
163 691 965
384 388 752
122 223 305
231 805 832
456 193 442
451 674 148
222 300 384
507 438 988
226 621 498
241 341 211
678 282 444
775 374 34
263 24 511
57 234 545
813 487 658
284 469 819
739 762 168
517 216 585
193 573 875
87 371 167
803 266 435
315 308 832
783 303 456
526 389 873
619 722 421
13 733 405
466 272 400
668 795 113
157 359 857
587 299 893
316 570 324
338 571 379
782 367 289
230 252 350
576 453 678
147 720 949
110 166 863
121 487 848
430 230 366
505 466 489
536 145 832
675 239 103
112 137 477
487 326 30
689 346 41
705 235 702
201 659 601
602 116 4
662 279 816
455 252 419
674 122 891
434 446 817
744 563 757
71 21 873
408 45 937
709 21 384
584 481 315
514 2 635
199 621 898
116 413 187
375 650 604
264 622 144
22 468 79
423 504 874
271 569 711
429 252 369
657 672 149
236 725 405
114 722 329
626 128 941
240 427 501
239 341 771
264 745 944
7 239 647
64 346 138
179 181 689
41 548 214
477 118 61
316 95 824
155 366 289
707 482 711
731 251 626
587 228 931
358 231 565
99 521 751
57 172 439
193 588 886
201 587 450
346 531 95
468 433 25
113 325 856
37 332 339
301 552 662
99 687 260
344 750 492
722 468 998
536 466 773
406 283 873
712 127 927
640 800 312
797 326 595
392 420 609
492 141 217
85 102 366
266 622 642
142 473 665
522 247 166
450 98 498
677 580 149
5 128 364
411 306 779
604 364 288
275 35 905
420 286 77
648 778 633
592 620 733
571 506 815
619 801 107
12 809 755
537 227 779
102 524 830
405 811 305
312 613 396
717 230 17
255 147 709
730 375 860
186 640 793
611 22 757
346 55 840
454 103 545
250 317 782
649 688 415
698 45 916
357 525 12
813 543 869
207 782 93
203 188 74
428 91 954
276 551 177
85 251 654
365 736 210
110 534 496
595 443 84
221 100 462
492 804 279
202 499 333
673 575 981
112 148 192
664 300 49
300 703 119
320 164 157
774 611 380
424 233 541
380 440 804
439 739 167
763 332 252
384 449 271
724 298 270
365 478 538
734 97 440
488 16 121
119 115 365
421 566 241
88 251 55
811 566 362
149 672 615
408 793 350
308 815 23
670 721 182
269 568 696
691 783 472
89 307 227
141 803 408
151 410 219
758 627 298
416 315 101
255 21 885
740 60 684
50 26 193
24 304 694
140 554 386
231 148 576
102 460 766
93 252 130
509 99 656
399 368 198
150 184 667
778 133 915
134 91 866
654 46 338
787 562 876
172 419 449
268 254 791
20 136 431
342 221 237
544 527 904
102 674 475
411 188 296
661 310 243
702 778 899
50 280 437
616 440 537
236 128 695
177 624 917
184 223 360
253 710 736
274 606 310
335 188 879
472 556 910
9 771 188
158 476 235
633 540 131
708 625 272
344 87 829
801 172 150
53 12 895
22 425 545
714 704 900
29 692 677
99 670 792
380 509 500
709 356 517
429 225 883
442 521 893
622 116 63
563 730 930
733 188 945
456 450 858
536 92 92
734 112 834
5 19 238
136 795 323
342 114 533
695 455 92
192 245 678
497 495 98
670 227 925
747 16 172
531 95 618
489 545 244
373 157 278
47 605 497
16 786 756
164 470 918
287 734 596
519 75 502
191 343 140
63 756 965
769 784 525
195 200 811
550 520 624
358 441 663
436 219 793
222 643 735
554 532 507
651 362 90
313 348 1
304 264 633
739 256 753
37 331 959
467 613 817
508 312 605
375 441 538
580 767 619
709 239 47
722 694 396
85 736 993
525 802 265
798 459 944
79 640 36
137 436 209
587 580 613
716 579 799
167 457 686
381 641 495
487 136 243
489 584 868
444 77 292
375 325 667
148 51 12
710 518 106
89 688 580
749 746 253
609 533 242
715 174 834
175 296 910
353 104 412
42 109 779
590 310 470
136 368 941
193 467 953
776 353 990
805 397 173
769 104 832
152 245 36
637 714 538
111 487 916
450 419 434
118 704 481
292 748 392
239 123 779
377 428 156
165 193 623
51 166 854
663 456 851
119 126 935
199 389 845
12 57 283
748 727 156
312 732 819
564 790 650
7 561 121
601 324 158
281 474 805
529 149 308
453 811 997
38 587 197
479 465 847
276 389 314
813 29 48
567 425 696
136 800 537
16 326 564
440 749 34
414 660 676
532 12 858
681 449 741
588 226 822
18 251 221
617 337 52
542 647 153
654 605 265
361 306 714
668 395 286
198 34 721
720 431 925
207 458 492
350 46 835
547 290 566
236 403 647
492 309 744
531 768 69
460 799 177
594 203 379
185 384 4
354 611 398
237 333 116
414 550 201
313 47 884
708 667 74
163 114 875
86 505 97
103 691 336
370 24 494
693 202 430
511 799 600
99 714 908
337 743 64
690 794 785
246 265 843
679 310 330
157 337 536
51 392 496
585 704 541
591 303 604
144 483 959
188 492 374
143 465 537
378 710 925
355 427 291
379 807 448
175 337 129
782 1 203
762 193 43
706 418 845
17 385 231
3 815 913
1 59 268
327 798 42
30 539 819
763 412 461
96 179 855
203 169 886
747 474 18
721 151 940
397 295 819
787 431 321
577 295 296
721 561 612
381 544 972
191 551 120
636 501 687
556 339 992
809 779 850
695 749 108
626 255 934
62 437 667
271 445 906
78 782 204
542 176 223
98 512 78
212 460 829
288 132 591
418 374 370
794 253 531
708 167 869
156 611 808
774 270 199
542 793 141
104 86 257
64 507 168
695 610 639
268 498 438
248 513 53
345 14 710
704 121 365
646 115 874
101 51 623
782 203 30
511 17 632
226 24 475
764 800 714
787 248 23
247 730 747
130 678 192
298 730 861
562 259 73
116 275 790
309 141 542
771 574 50
694 84 316
113 137 702
93 512 936
123 260 760
577 385 183
226 84 674
726 143 470
262 86 681
719 504 281
676 397 321
238 108 556
548 698 915
102 576 515
205 733 592
616 68 315
307 774 569
300 689 471
2 764 195
570 113 719
631 627 206
371 789 156
564 787 20
365 745 395
51 404 47
506 189 645
234 636 346
735 514 847
561 414 346
395 127 649
327 27 666
591 149 66
772 607 593
118 368 603
227 452 628
1 318 730
286 196 464
473 394 722
550 198 875
539 612 261
416 630 947
350 219 973
315 161 219
28 240 1000
528 764 204
24 346 708
405 751 140
164 311 293
724 141 534
774 252 724
504 584 909
186 211 466
203 808 141
250 66 890
45 65 922
345 731 225
62 640 14
646 614 232
102 511 558
9 282 624
488 793 35
254 658 925
198 473 536
329 4 382
274 61 866
433 791 750
122 461 313
564 619 548
230 243 368
659 22 219
452 274 796
290 193 990
663 79 909
519 690 710
96 117 103
397 599 885
129 209 699
229 680 592
776 129 319
187 515 802
231 287 483
343 113 427
407 751 837
563 109 529
736 516 80
280 614 528
177 12 985
229 402 113
774 7 742
440 132 690
531 160 388
393 390 989
19 108 859
601 720 353
665 333 183
682 177 645
552 125 701
216 732 900
323 756 639
602 81 248
94 298 605
379 751 714
655 585 118
13 628 990
572 153 703
775 28 926
498 436 188
740 37 56
478 741 809
317 756 737
305 185 979
812 61 841
533 590 343
16 441 421
665 78 624
65 308 973
263 789 12
638 100 968
54 15 593
656 287 810
434 730 899
429 288 80
703 787 587
466 342 584
151 75 373
425 684 153
716 729 167
114 776 879
549 601 60
98 376 732
606 210 593
1 450 837
379 126 463
361 168 726
150 161 912
686 45 454
472 345 227
216 700 320
250 463 33
199 706 543
193 151 84
510 168 927
746 274 62
493 274 526
710 274 832
689 393 735
454 655 39
432 757 724
49 352 917
469 233 591
783 273 788
34 33 749
478 502 636
307 182 347
141 192 730
355 107 610
153 480 48
166 404 104
146 525 445
4 460 273
280 115 178
739 419 229
609 342 119
534 110 673
613 247 102
575 567 534
704 455 976
716 785 947
735 93 789
404 210 578
286 619 445
95 21 547
370 393 540
526 742 737
701 534 923
355 543 850
275 788 858
667 468 51
71 356 357
653 354 215
100 617 862
801 731 831
244 394 302
757 662 404
563 99 4
584 626 19
197 303 996
328 49 143
482 643 490
330 1 294
617 601 133
529 741 835
179 486 153
30 715 878
335 706 862
263 446 816
493 782 830
713 354 588
243 223 110
249 42 514
96 267 781
157 695 195
607 105 230
366 216 352
471 139 784
284 162 641
699 724 191
548 57 695
724 167 802
716 106 34
574 290 801
261 558 765
744 275 803
489 25 49
293 604 663
370 11 95
267 765 897
202 122 754
18 567 440
453 159 736
354 14 458
248 565 917
626 308 681
373 656 761
48 248 506
342 280 898
388 798 931
756 11 353
184 54 83
628 697 808
455 644 794
452 81 986
407 262 255
272 429 632
487 67 359
624 149 353
430 556 900
210 338 321
127 97 453
152 268 882
476 720 536
756 567 717
707 217 309
9 652 186
758 245 73
802 241 850
118 594 484
96 289 329
452 405 605
721 470 78
211 660 452
289 665 54
378 744 353
486 398 976
601 789 719
43 65 350
99 34 718
572 406 668
455 23 405
438 602 517
498 678 687
391 296 62
111 695 60
117 763 770
492 322 259
616 387 894
319 496 350
572 292 273
423 256 600
539 232 946
487 122 881
710 63 549
708 295 596
132 398 960
376 660 966
504 738 685
379 419 812
27 64 552
587 291 238
256 252 239
350 813 20
617 402 43
72 308 257
365 614 1000
425 235 16
435 685 687
390 751 560
717 392 961
110 190 917
784 90 181
66 457 246
65 346 275
242 553 167
171 335 669
677 583 651
744 327 782
458 323 448
814 71 757
159 2 498
610 695 246
780 570 569
609 290 494
171 603 42
313 101 476
767 126 122
387 232 706
558 621 102
623 652 741
202 492 578
175 761 777
758 106 872
348 422 808
556 606 138
541 444 408
436 462 174
121 776 902
251 396 693
95 498 430
711 316 534
86 647 894
388 274 889
118 491 335
10 789 290
430 507 986
357 207 110
186 504 730
771 155 380
270 192 475
587 518 271
743 94 957
144 542 97
199 71 139
11 551 362
183 803 859
667 62 825
596 284 828
380 719 251
175 323 706
803 94 784
317 715 438
350 694 108
337 11 807
94 745 717
638 745 16
657 29 906
512 519 531
61 78 555
647 700 290
702 81 88
787 243 615
129 336 478
269 799 132
150 512 502
670 447 553
26 295 138
281 658 571
481 457 198
328 181 177
475 151 679
46 69 189
116 718 543
417 615 783
369 287 650
208 744 979
761 633 307
322 516 744
218 594 116
92 104 456
312 647 337
677 788 481
498 655 957
11 242 14
130 594 44
216 369 757
622 460 340
514 809 844
51 45 324
197 411 877
449 226 853
688 639 632
380 609 57
368 304 233
343 64 595
364 797 685
723 687 72
781 695 557
195 464 834
743 524 791
386 228 632
296 317 819
58 657 947
596 264 462
465 755 45
203 691 904
381 357 177
100 374 76
774 283 226
636 167 32
58 450 19
381 155 301
139 813 735
15 748 140
35 104 721
538 19 903
337 794 458
462 309 526
131 596 644
203 608 467
139 440 551
103 455 140
200 548 816
219 427 560
766 307 296
265 569 310
448 721 99
701 770 670
767 234 329
104 19 199
520 142 124
347 605 491
586 733 364
451 140 865
7 352 407
221 385 283
6 125 478
592 287 354
683 45 904
538 706 419
403 757 495
813 426 821
324 388 109
607 53 6
656 168 872
142 652 563
434 630 114
383 511 682
720 569 145
753 143 94
169 741 578
92 742 268
16 79 567
700 350 954
276 139 475
536 206 759
263 254 84
381 172 154
703 198 553
97 112 904
206 739 690
545 661 468
668 729 493
303 684 952
643 638 251
667 207 998
478 364 642
763 290 796
101 575 975
233 179 644
208 217 60
540 354 277
302 789 66
357 389 51
560 174 485
353 674 911
119 496 614
453 394 397
270 173 742
487 389 325
241 792 917
618 327 657
628 234 912
508 450 902
442 260 27
463 786 85
332 573 122
626 435 90
505 632 471
148 778 840
585 58 890
211 553 724
326 356 247
128 625 831
235 541 15
391 373 157
250 106 404
117 611 728
313 801 527
430 168 165
570 540 467
462 483 801
370 702 185
170 294 845
112 191 380
273 100 79
128 561 656
255 803 222
509 648 78
577 663 777
134 647 715
128 91 28
587 605 262
486 548 385
366 642 606
653 502 336
535 694 789
55 471 4
247 583 285
554 413 531
39 796 679
480 573 439
74 112 628
519 157 388
293 790 737
97 494 444
615 770 728
299 85 447
396 636 357
247 464 131
91 119 75
623 328 471
551 456 70
616 482 507
334 692 277
197 156 503
368 479 836
443 82 22
663 514 703
658 57 238
104 758 506
97 813 904
782 626 911
53 716 701
609 34 980
315 43 299
131 719 773
542 612 563
424 524 834
389 657 144
65 36 95
723 813 977
370 369 222
403 381 237
334 481 601
637 500 499
131 35 340
803 681 33
452 116 20
768 533 190
682 366 400
13 196 598
345 690 207
383 524 789
655 236 929
560 633 851
126 249 737
442 451 391
588 800 989
550 701 205
200 174 58
422 147 811
293 592 313
289 43 950
679 603 274
285 33 131
410 404 200
630 250 818
788 548 435
150 743 214
352 646 540
393 726 73
725 42 901
522 169 41
637 299 269
683 360 492
451 206 203
723 190 925
259 345 150
738 505 832
503 814 857
682 159 589
210 370 403
427 579 758
159 338 251
282 158 963
20 345 886
536 472 201
24 182 694
536 58 559
88 724 87
271 318 116
250 373 795
302 495 80
96 580 882
752 250 326
573 466 560
391 791 702
717 781 159
815 605 722
345 535 857
73 13 374
249 607 569
769 61 524
364 358 189
451 557 55
677 598 314
739 451 857
623 170 177
209 50 76
604 476 957
246 170 273
264 19 730
669 153 335
536 430 124
698 754 364
652 435 664
338 596 621
536 185 836
695 254 19
53 236 114
494 614 683
