19
911 938
64 668 288
251 759 180
231 230 -452
587 95 498
571 61 -931
861 694 -860
564 147 -891
575 406 -664
235 358 -47
572 809 -286
828 215 -594
407 435 -54
44 589 -164
744 383 -300
375 839 280
167 882 101
404 685 204
453 263 -813
792 619 793
34 257 -586
228 258 346
630 573 -117
576 881 844
85 763 -624
202 839 681
475 183 525
910 325 193
845 313 411
477 868 393
550 232 -497
393 790 76
493 678 983
489 821 299
204 124 -838
487 379 771
288 835 -750
230 198 -771
255 115 -776
494 192 789
158 8 713
65 743 21
433 893 -79
16 675 182
57 660 -436
204 294 -777
598 658 -504
339 486 75
863 87 -539
187 381 -632
652 167 936
130 641 359
546 226 331
289 293 -953
879 269 8
290 560 571
224 94 -600
406 359 487
23 498 -708
676 777 293
350 87 -701
70 35 -435
356 218 801
467 389 -416
231 632 136
414 765 507
50 751 258
324 286 -96
628 249 850
627 380 217
144 292 -366
904 827 651
89 354 -488
183 195 450
6 491 -723
450 77 -641
674 277 771
179 709 -169
256 424 974
698 43 -195
60 52 607
50 78 -62
443 237 600
25 524 -402
828 11 -989
721 60 199
730 674 1000
255 498 972
739 769 -929
32 877 -61
338 771 -577
824 289 -422
863 363 -180
70 791 360
340 88 -448
843 739 779
167 809 522
132 539 658
457 816 -284
193 9 985
631 850 958
793 697 -179
183 123 -994
90 508 800
438 779 350
882 88 977
710 533 13
227 549 125
185 249 76
21 286 -324
399 889 379
882 404 629
700 46 472
688 610 -109
214 861 343
446 414 -493
217 85 -696
361 136 650
304 201 958
47 518 -996
285 578 -839
628 611 138
730 722 -535
323 426 -917
654 582 -789
799 714 545
416 172 -491
452 795 -349
506 434 23
456 67 -599
722 122 529
422 866 -832
113 327 -322
95 729 573
842 416 870
196 260 626
668 631 39
245 302 918
479 891 -447
508 418 -187
156 905 475
198 213 295
510 635 717
392 816 62
390 684 -955
788 650 -647
294 589 -876
252 216 131
505 709 578
381 537 -559
481 486 -682
1 168 -653
398 768 442
486 363 -359
306 231 623
378 726 426
47 148 83
534 621 928
133 119 -460
199 16 903
578 238 -314
271 472 -20
184 334 -342
565 736 -973
732 263 -823
859 291 -8
429 405 290
625 269 -687
388 834 312
877 329 412
773 412 234
111 564 -532
493 431 892
767 760 614
781 382 -592
392 248 -820
586 308 486
195 549 835
651 145 633
300 635 194
724 905 384
265 297 88
635 536 -991
724 391 249
760 296 807
532 642 457
313 49 941
194 835 -315
159 812 569
469 880 -274
389 499 -852
712 93 -200
770 783 -885
188 517 827
50 599 -431
664 876 -581
843 404 -245
604 262 -795
246 46 -595
819 523 -724
296 343 -176
286 328 785
622 408 157
8 170 38
199 344 403
729 649 -243
212 405 230
811 131 525
573 186 -627
817 522 -673
305 563 864
457 384 204
501 269 714
501 823 469
542 312 -360
516 57 164
64 143 -259
279 81 -211
862 776 705
529 516 745
461 602 933
497 738 55
852 856 -707
594 799 365
96 58 891
383 706 -30
371 160 -588
355 656 675
656 742 245
60 256 925
319 496 -823
267 275 -547
417 685 -489
516 472 -245
871 420 740
238 460 -588
479 236 808
279 735 -695
393 326 626
367 99 344
830 436 -178
10 752 -990
847 405 -751
128 477 161
688 746 -240
205 270 -150
526 626 250
427 216 868
593 286 -47
508 625 -875
872 756 835
393 48 -409
238 355 -742
192 234 -18
146 27 -39
665 322 -620
692 619 940
672 492 708
477 438 -588
190 774 -414
394 577 -407
817 69 -245
897 540 667
380 815 838
106 686 -384
616 414 163
427 445 6
435 105 308
358 395 -614
188 757 -681
390 134 -899
890 869 447
818 692 477
106 731 -850
355 156 -11
129 646 -622
879 652 -316
565 62 582
538 868 -631
207 282 -27
552 336 233
537 189 -208
59 877 -8
663 98 647
675 572 -197
822 12 -436
813 173 809
783 114 272
147 619 52
184 204 512
386 319 938
341 211 163
10 738 -467
73 903 528
1 350 -850
116 757 -255
238 121 12
748 837 720
809 211 -229
181 896 196
306 94 863
857 908 -527
819 655 391
271 321 699
658 509 -531
321 50 -814
440 794 723
52 355 769
402 772 -99
821 96 522
377 111 8
669 339 865
435 157 479
112 697 -165
268 762 -9
856 212 -518
839 893 -751
266 381 -756
342 602 -395
582 203 246
315 54 330
216 794 114
452 270 -832
280 279 -143
441 426 -836
695 81 -201
838 865 978
673 715 489
667 56 -299
312 39 -610
53 612 -690
619 861 -540
298 106 787
397 230 -96
836 624 714
3 866 760
202 291 -526
470 25 -967
335 824 -59
457 109 37
74 702 278
265 563 -777
243 110 547
306 683 144
196 84 676
864 730 -285
734 173 94
624 826 593
283 669 977
720 830 -156
53 84 770
732 459 -383
398 533 -536
757 218 -599
307 898 302
224 488 828
67 420 252
336 694 -782
698 19 -254
806 107 372
345 197 -217
