9516 27297
3969 9173 317
4904 3091 804
5171 8619 349
7914 6455 -157
2396 872 -50
2479 3826 -319
4627 6718 -705
2710 8216 940
4867 7231 614
5173 8579 449
1618 8372 -877
9065 1414 -548
2965 8256 893
8617 943 -387
9316 37 -238
7691 6966 -317
5897 3726 21
6730 9515 -836
5680 2781 188
4924 8386 166
3434 72 -957
1898 4215 133
6543 1177 -537
4687 9483 36
2252 6757 -800
4522 4146 30
5251 4292 -860
7575 3500 478
3733 4995 -782
531 9110 723
6604 1189 548
7603 3547 929
2150 2662 719
5101 969 421
6520 7163 -788
8426 7668 -63
6587 1342 -904
5761 3796 130
4149 1309 -470
4734 4218 328
2109 4127 617
5449 7928 343
6470 5354 722
7860 5973 -302
9330 6163 -714
8721 7315 -425
9387 7468 -329
3587 8741 -5
7586 6982 401
5996 5933 -432
1767 6984 -966
6233 2307 -891
4483 5994 475
4299 911 998
3292 5988 -154
786 6823 206
6747 3483 -453
5859 3332 204
968 2586 642
7726 8033 -548
8208 5257 -932
9382 8211 -475
3126 3811 -521
8244 7898 801
5069 4539 -545
1029 4957 730
5417 7120 260
1608 5657 708
2304 4371 -256
69 454 664
545 8006 375
2006 8129 -956
3700 4446 -918
7739 2709 207
7489 1221 535
4207 9212 15
4 8427 266
9138 1254 -292
2656 5234 62
6664 1123 615
3403 8775 -2
1544 8977 -618
8479 4010 165
2251 9378 -376
4197 3396 687
2252 2044 -236
5786 6845 825
6385 3808 96
6078 1905 -611
6977 6191 654
9076 2233 -697
6136 5770 -436
4567 1670 -398
1355 1304 -99
74 8272 814
3215 8558 904
6730 1762 902
6365 8861 -608
6570 7237 -680
8190 4318 -467
3467 8902 554
820 1054 763
5661 4878 167
2241 3716 344
4265 4330 -928
7347 7460 -195
8372 4199 -150
9017 3393 -770
6555 2183 -10
5018 7030 362
1240 3811 -691
5458 3655 -372
8179 7129 13
4837 6647 768
8273 5359 -553
4202 9179 -521
1630 4393 -376
9202 7140 -777
4967 4489 533
4863 3011 -408
4855 7184 593
3763 7695 -486
5204 1335 52
8593 6000 -351
3511 1752 -849
9427 5378 -190
635 8273 409
4172 7103 -889
3084 8254 -238
3104 3233 -708
3185 146 -399
172 2143 595
5204 6246 -518
992 4984 -666
6637 5421 52
2798 4162 -277
8827 6020 174
2502 5269 -450
8606 620 -716
6195 1115 -905
812 4239 430
6665 750 687
3225 2770 -198
6798 1794 -962
141 6269 -18
865 6550 -575
